"nF","ipf","total_items","rep","alpha","beta","pattern","mcc_pattern_z15"
8,6,48,3,1,0.3,"acquiescent",0.0018
8,6,48,3,1,0.3,"mixed",0.1164
8,6,48,3,1,0.5,"clean",NA
8,6,48,3,1,0.5,"random",0.1267
8,6,48,3,1,0.5,"longstring",0.1173
8,6,48,3,1,0.5,"pure_straight",0.1449
8,6,48,3,1,0.5,"acquiescent",0
8,6,48,3,1,0.5,"mixed",0.1154
8,6,48,3,1,0.8,"clean",NA
8,6,48,3,1,0.8,"random",0.1164
8,6,48,3,1,0.8,"longstring",0.1079
8,6,48,3,1,0.8,"pure_straight",0.1293
8,6,48,3,1,0.8,"acquiescent",0.0183
8,6,48,3,1,0.8,"mixed",0.106
8,6,48,3,1,1,"clean",NA
8,6,48,3,1,1,"random",0.1094
8,6,48,3,1,1,"longstring",0.1006
8,6,48,3,1,1,"pure_straight",0.1186
8,6,48,3,1,1,"acquiescent",0.043
8,6,48,3,1,1,"mixed",0.0997
8,6,48,3,1,1.5,"clean",NA
8,6,48,3,1,1.5,"random",0.0997
8,6,48,3,1,1.5,"longstring",0.0909
8,6,48,3,1,1.5,"pure_straight",0.1033
8,6,48,3,1,1.5,"acquiescent",0.0251
8,6,48,3,1,1.5,"mixed",0.0909
8,6,48,3,1.5,0.3,"clean",NA
8,6,48,3,1.5,0.3,"random",0.1277
8,6,48,3,1.5,0.3,"longstring",0.0615
8,6,48,3,1.5,0.3,"pure_straight",0.1829
8,6,48,3,1.5,0.3,"acquiescent",0.0018
8,6,48,3,1.5,0.3,"mixed",0.1164
8,6,48,3,1.5,0.5,"clean",NA
8,6,48,3,1.5,0.5,"random",0.1267
8,6,48,3,1.5,0.5,"longstring",0.1173
8,6,48,3,1.5,0.5,"pure_straight",0.1814
8,6,48,3,1.5,0.5,"acquiescent",0
8,6,48,3,1.5,0.5,"mixed",0.1154
8,6,48,3,1.5,0.8,"clean",NA
8,6,48,3,1.5,0.8,"random",0.1114
8,6,48,3,1.5,0.8,"longstring",0.1024
8,6,48,3,1.5,0.8,"pure_straight",0.1595
8,6,48,3,1.5,0.8,"acquiescent",0.0465
8,6,48,3,1.5,0.8,"mixed",0.1015
8,6,48,3,1.5,1,"clean",NA
8,6,48,3,1.5,1,"random",0.1055
8,6,48,3,1.5,1,"longstring",0.097
8,6,48,3,1.5,1,"pure_straight",0.1511
8,6,48,3,1.5,1,"acquiescent",0.036
8,6,48,3,1.5,1,"mixed",0.0961
8,6,48,3,1.5,1.5,"clean",NA
8,6,48,3,1.5,1.5,"random",0.0902
8,6,48,3,1.5,1.5,"longstring",0.0821
8,6,48,3,1.5,1.5,"pure_straight",0.1291
8,6,48,3,1.5,1.5,"acquiescent",0.0466
8,6,48,3,1.5,1.5,"mixed",0.0821
8,6,48,3,2,0.3,"clean",NA
8,6,48,3,2,0.3,"random",0.1277
8,6,48,3,2,0.3,"longstring",0.1183
8,6,48,3,2,0.3,"pure_straight",0.1829
8,6,48,3,2,0.3,"acquiescent",0.0018
8,6,48,3,2,0.3,"mixed",0.1164
8,6,48,3,2,0.5,"clean",NA
8,6,48,3,2,0.5,"random",0.1267
8,6,48,3,2,0.5,"longstring",0.1173
8,6,48,3,2,0.5,"pure_straight",0.1814
8,6,48,3,2,0.5,"acquiescent",0.0722
8,6,48,3,2,0.5,"mixed",0.1154
8,6,48,3,2,0.8,"clean",NA
8,6,48,3,2,0.8,"random",0.1075
8,6,48,3,2,0.8,"longstring",0.0988
8,6,48,3,2,0.8,"pure_straight",0.1539
8,6,48,3,2,0.8,"acquiescent",0.0774
8,6,48,3,2,0.8,"mixed",0.0979
8,6,48,3,2,1,"clean",NA
8,6,48,3,2,1,"random",0.0978
8,6,48,3,2,1,"longstring",0.0891
8,6,48,3,2,1,"pure_straight",0.14
8,6,48,3,2,1,"acquiescent",0.0606
8,6,48,3,2,1,"mixed",0.0891
8,6,48,3,2,1.5,"clean",NA
8,6,48,3,2,1.5,"random",0.0816
8,6,48,3,2,1.5,"longstring",0.0743
