"nF","ipf","total_items","rep","alpha","beta","mcc_z15","mcc_oracle"
30,6,180,5,0,1.5,0.7288,0.8063
30,6,180,5,0.5,0.3,0.7288,0.8063
30,6,180,5,0.5,0.5,0.7288,0.8157
30,6,180,5,0.5,0.8,0.7446,0.8063
30,6,180,5,0.5,1,0.7446,0.8157
30,6,180,5,0.5,1.5,0.7603,0.8063
30,6,180,5,1,0.3,0.7288,0.8157
30,6,180,5,1,0.5,0.7446,0.8063
30,6,180,5,1,0.8,0.7603,0.8157
30,6,180,5,1,1,0.7603,0.8157
30,6,180,5,1,1.5,0.7911,0.8157
30,6,180,5,1.5,0.3,0.7288,0.8157
30,6,180,5,1.5,0.5,0.7446,0.8063
30,6,180,5,1.5,0.8,0.7603,0.8058
30,6,180,5,1.5,1,0.7758,0.8157
30,6,180,5,1.5,1.5,0.7854,0.8157
30,6,180,5,2,0.3,0.7288,0.8157
30,6,180,5,2,0.5,0.7446,0.8058
30,6,180,5,2,0.8,0.7603,0.8157
30,6,180,5,2,1,0.8063,0.8157
30,6,180,5,2,1.5,0.8006,0.8058
30,6,180,5,2.5,0.3,0.7288,0.8157
30,6,180,5,2.5,0.5,0.7446,0.8157
30,6,180,5,2.5,0.8,0.7758,0.8058
30,6,180,5,2.5,1,0.7854,0.8058
30,6,180,5,2.5,1.5,0.7962,0.8006
30,6,180,5,3,0.3,0.7288,0.8157
30,6,180,5,3,0.5,0.7603,0.8157
30,6,180,5,3,0.8,0.7911,0.8006
30,6,180,5,3,1,0.8006,0.8058
30,6,180,5,3,1.5,0.7599,0.8058
8,10,80,1,0,0.3,0.3458,0.4423
8,10,80,1,0,0.5,0.3458,0.4423
8,10,80,1,0,0.8,0.3458,0.4423
8,10,80,1,0,1,0.3458,0.4423
8,10,80,1,0,1.5,0.3458,0.4423
8,10,80,1,0.5,0.3,0.3458,0.4423
8,10,80,1,0.5,0.5,0.3458,0.4423
8,10,80,1,0.5,0.8,0.3432,0.4423
8,10,80,1,0.5,1,0.3432,0.4453
8,10,80,1,0.5,1.5,0.3432,0.4363
8,10,80,1,1,0.3,0.3458,0.4423
8,10,80,1,1,0.5,0.3458,0.4423
8,10,80,1,1,0.8,0.3432,0.4544
8,10,80,1,1,1,0.3352,0.4453
8,10,80,1,1,1.5,0.3222,0.4276
8,10,80,1,1.5,0.3,0.3458,0.4423
8,10,80,1,1.5,0.5,0.3458,0.4498
8,10,80,1,1.5,0.8,0.3405,0.4453
8,10,80,1,1.5,1,0.344,0.4328
8,10,80,1,1.5,1.5,0.3263,0.4328
8,10,80,1,2,0.3,0.3458,0.4423
8,10,80,1,2,0.5,0.3432,0.4591
8,10,80,1,2,0.8,0.3466,0.4619
8,10,80,1,2,1,0.3389,0.4523
8,10,80,1,2,1.5,0.3068,0.4107
8,10,80,1,2.5,0.3,0.3458,0.4423
8,10,80,1,2.5,0.5,0.3432,0.4591
8,10,80,1,2.5,0.8,0.344,0.4652
8,10,80,1,2.5,1,0.3338,0.4483
8,10,80,1,2.5,1.5,0.2973,0.4157
8,10,80,1,3,0.3,0.3458,0.4423
8,10,80,1,3,0.5,0.3432,0.4591
8,10,80,1,3,0.8,0.3389,0.4608
8,10,80,1,3,1,0.3239,0.4469
8,10,80,1,3,1.5,0.3052,0.3931
8,10,80,2,0,0.3,0.2663,0.3631
8,10,80,2,0,0.5,0.2663,0.3631
8,10,80,2,0,0.8,0.2663,0.3631
8,10,80,2,0,1,0.2663,0.3631
8,10,80,2,0,1.5,0.2663,0.3631
