"nF","ipf","total_items","rep","z_threshold","n_true_careless","n_noise","n_clean","mcc_std","mcc_f","sens_std","spec_std","sens_f","spec_f","noise_flagged_std","noise_flagged_f","mode_std","mode_f","n_pairs_std","n_pairs_f"
20,3,60,1,2.9,23,22,255,0.0183989364627086,0.0678542268167385,0.91304347826087,0.108303249097473,0.956521739130435,0.126353790613718,1,0.954545454545455,"weighted","efa_d",1770,228
30,3,90,1,0.1,23,22,255,0.270380318004162,0.371241833913942,0.608695652173913,0.812274368231047,0.521739130434783,0.92057761732852,0.590909090909091,0.318181818181818,"coupled","efa_d",121,290
30,3,90,1,0.3,23,22,255,0.271065239185925,0.353119587738256,0.652173913043478,0.787003610108303,0.565217391304348,0.895306859205776,0.636363636363636,0.318181818181818,"coupled","efa_d",121,290
30,3,90,1,0.5,23,22,255,0.244943888328014,0.386756576913005,0.652173913043478,0.75812274368231,0.695652173913043,0.862815884476534,0.636363636363636,0.409090909090909,"coupled","efa_d",121,290
30,3,90,1,0.7,23,22,255,0.218664584136831,0.35686899974886,0.652173913043478,0.725631768953069,0.739130434782609,0.819494584837545,0.681818181818182,0.545454545454545,"coupled","efa_d",121,290
30,3,90,1,0.9,23,22,255,0.197433131591406,0.329278050338424,0.652173913043478,0.696750902527076,0.782608695652174,0.768953068592058,0.727272727272727,0.590909090909091,"coupled","efa_d",121,290
30,3,90,1,1.1,23,22,255,0.173050780962127,0.312622140441449,0.652173913043478,0.660649819494585,0.826086956521739,0.72202166064982,0.727272727272727,0.681818181818182,"coupled","efa_d",121,290
30,3,90,1,1.3,23,22,255,0.17610944860036,0.298157054516885,0.695652173913043,0.628158844765343,0.869565217391304,0.671480144404332,0.727272727272727,0.727272727272727,"coupled","efa_d",121,290
30,3,90,1,1.5,23,22,255,0.175727465944615,0.266095786583303,0.739130434782609,0.588447653429603,0.91304347826087,0.584837545126354,0.772727272727273,0.772727272727273,"coupled","efa_d",121,290
30,3,90,1,1.7,23,22,255,0.147499672821985,0.222989095987689,0.739130434782609,0.537906137184116,0.91304347826087,0.505415162454874,0.772727272727273,0.863636363636364,"coupled","efa_d",121,290
30,3,90,1,1.9,23,22,255,0.217494264600692,0.197917682293198,0.91304347826087,0.494584837545126,0.91304347826087,0.454873646209386,0.772727272727273,0.863636363636364,"coupled","efa_d",121,290
30,3,90,1,2.1,23,22,255,0.219824172757517,0.198141361891979,0.956521739130435,0.451263537906137,0.956521739130435,0.404332129963899,0.772727272727273,0.909090909090909,"coupled","efa_d",121,290
30,3,90,1,2.3,23,22,255,0.232022094616459,0.170814159210277,1,0.425992779783394,0.956521739130435,0.342960288808664,0.772727272727273,1,"coupled","efa_d",121,290
30,3,90,1,2.5,23,22,255,0.203755356953786,0.148615534387234,1,0.36101083032491,0.956521739130435,0.292418772563177,0.772727272727273,1,"coupled","efa_d",121,290
30,3,90,1,2.7,23,22,255,0.175244535854382,0.121136073760781,1,0.292418772563177,0.956521739130435,0.231046931407942,0.863636363636364,1,"coupled","efa_d",121,290
30,3,90,1,2.9,23,22,255,0.158967789576202,0.109344025007832,1,0.252707581227437,0.956521739130435,0.205776173285199,0.909090909090909,1,"coupled","efa_d",121,290
4,6,24,1,0.1,23,22,255,0.207306499974607,0.154811383923913,0.434782608695652,0.855595667870036,0.478260869565217,0.772563176895307,0.136363636363636,0.318181818181818,"weighted","efa_d",276,96
4,6,24,1,0.3,23,22,255,0.242001775370422,0.14901110938742,0.608695652173913,0.783393501805054,0.565217391304348,0.696750902527076,0.272727272727273,0.363636363636364,"weighted","efa_d",276,96
4,6,24,1,0.5,23,22,255,0.205191851629955,0.10779661882993,0.652173913043478,0.707581227436823,0.565217391304348,0.631768953068592,0.409090909090909,0.409090909090909,"weighted","efa_d",276,96
4,6,24,1,0.7,23,22,255,0.1841740827779,0.115095655483068,0.739130434782609,0.602888086642599,0.652173913043478,0.563176895306859,0.545454545454545,0.409090909090909,"weighted","efa_d",276,96
4,6,24,1,0.9,23,22,255,0.145842958653176,0.105109035335122,0.782608695652174,0.490974729241877,0.695652173913043,0.501805054151625,0.681818181818182,0.409090909090909,"weighted","efa_d",276,96
4,6,24,1,1.1,23,22,255,0.134759040990315,0.147256159521902,0.826086956521739,0.422382671480144,0.826086956521739,0.447653429602888,0.772727272727273,0.545454545454545,"weighted","efa_d",276,96
4,6,24,1,1.3,23,22,255,0.122296636167956,0.151614435062215,0.869565217391304,0.346570397111913,0.869565217391304,0.407942238267148,0.863636363636364,0.545454545454545,"weighted","efa_d",276,96
4,6,24,1,1.5,23,22,255,0.118805071811103,0.137812586144016,0.91304347826087,0.285198555956679,0.869565217391304,0.379061371841155,0.954545454545455,0.636363636363636,"weighted","efa_d",276,96
4,6,24,1,1.7,23,22,255,0.124437883868597,0.135632000048313,0.956521739130435,0.23826714801444,0.91304347826087,0.32129963898917,0.954545454545455,0.772727272727273,"weighted","efa_d",276,96
