"nFactors","items_per_factor","total_items","n_respondents","pct_careless","corProp","z_threshold","is_auto_z","auto_z_value","rep_id","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
8,10,80,300,0.1,0.1,0.9,TRUE,0.890196788843219,1,0.201250392143546,0.828571428571429,0.588888888888889,29,318,222,6,1.63601844632996,0.0126134653980943
20,10,200,300,0.1,0.03,0.7,TRUE,0.687615839338061,1,0.735788599479493,0.611111111111111,0.996296296296296,22,538,2,14,5.98393799219443,0.709242938757138
20,10,200,300,0.1,0.05,0.7,TRUE,0.687615839338061,1,0.530723402925526,0.388888888888889,0.992592592592593,14,536,4,22,5.59697406536155,1.34437895748771
20,10,200,300,0.1,0.1,0.7,TRUE,0.687615839338061,1,0.337068277169743,0.166666666666667,0.996296296296296,6,538,2,30,5.11783944012338,1.89921095303189
30,10,300,300,0.1,0.03,1.3,TRUE,1.25333805539459,1,0.737373847365781,0.558823529411765,1,19,540,0,15,7.22642156957348,1.27516460224984
30,10,300,300,0.1,0.05,1.3,TRUE,1.25333805539459,1,0.606663221428525,0.382352941176471,1,13,540,0,21,6.87885097110471,2.0504094638764
30,10,300,300,0.1,0.1,1.3,TRUE,1.25333805539459,1,0.333848930444794,0.117647058823529,1,4,540,0,30,6.6142676688319,3.30931098954378
8,3,24,500,0.1,0.03,0.9,TRUE,0.890196788843219,1,0.0617436396473761,0.827586206896552,0.288888888888889,48,260,640,10,0.299661146722698,-0.0614249749125411
8,3,24,500,0.1,0.05,0.9,TRUE,0.890196788843219,1,0.0617436396473761,0.827586206896552,0.288888888888889,48,260,640,10,0.308439016313632,-0.0408210730472705
8,3,24,500,0.1,0.1,0.9,TRUE,0.890196788843219,1,0.0891039163626277,0.896551724137931,0.266666666666667,52,240,660,6,0.227687880860385,-0.251558085031793
20,3,60,500,0.1,0.03,0.7,TRUE,0.687615839338061,1,0.158152262968238,0.779661016949153,0.548888888888889,46,494,406,13,0.988096204929849,0.00225074863220862
20,3,60,500,0.1,0.05,0.7,TRUE,0.687615839338061,1,0.146154247102726,0.779661016949153,0.524444444444444,46,472,428,13,0.955113273792985,-0.0203136746748916
20,3,60,500,0.1,0.1,0.7,TRUE,0.687615839338061,1,0.105029610421085,0.711864406779661,0.506666666666667,42,456,444,17,0.887048642410739,0.114379376141132
30,3,90,500,0.1,0.03,1.3,TRUE,1.25333805539459,1,0.198697469506851,0.896551724137931,0.52,52,468,432,6,1.4693817324746,0.0164791378304567
30,3,90,500,0.1,0.05,1.3,TRUE,1.25333805539459,1,0.156374981625399,0.827586206896552,0.5,48,450,450,10,1.4122314572521,-0.0829024811750258
30,3,90,500,0.1,0.1,1.3,TRUE,1.25333805539459,1,0.152971783705603,0.775862068965517,0.544444444444444,45,490,410,13,1.41641779411857,0.312863367205588
8,6,48,500,0.1,0.03,0.9,TRUE,0.890196788843219,1,0.12511135880832,0.796610169491525,0.462222222222222,47,416,484,12,1.07977868387027,-0.0604124861135466
8,6,48,500,0.1,0.05,0.9,TRUE,0.890196788843219,1,0.0860640231745076,0.728813559322034,0.448888888888889,43,404,496,16,1.22893507053937,0.126177008099739
8,6,48,500,0.1,0.1,0.9,TRUE,0.890196788843219,1,0.152811035983571,0.847457627118644,0.468888888888889,50,422,478,9,1.29679057191296,0.0391265978392128
20,6,120,500,0.1,0.03,0.7,TRUE,0.687615839338061,1,0.429989250403108,0.813559322033898,0.866666666666667,48,780,120,11,3.33406530679589,0.0477397512788465
20,6,120,500,0.1,0.05,0.7,TRUE,0.687615839338061,1,0.432913527543275,0.728813559322034,0.897777777777778,43,808,92,16,3.37248902088411,0.27783960097091
20,6,120,500,0.1,0.1,0.7,TRUE,0.687615839338061,1,0.353982279084469,0.661016949152542,0.875555555555556,39,788,112,20,3.05590245461446,0.375043656251107
30,6,180,500,0.1,0.03,1.3,TRUE,1.25333805539459,1,0.516971599056074,0.796610169491525,0.917777777777778,47,826,74,12,4.45789661945237,0.40957322525426
30,6,180,500,0.1,0.05,1.3,TRUE,1.25333805539459,1,0.406107693539439,0.644067796610169,0.911111111111111,38,820,80,21,4.14752959351428,0.770534056380906
30,6,180,500,0.1,0.1,1.3,TRUE,1.25333805539459,1,0.317641258103768,0.491525423728814,0.917777777777778,29,826,74,30,3.75679785237193,1.18840364194117
8,10,80,500,0.1,0.03,0.9,TRUE,0.890196788843219,1,0.258336936452681,0.796610169491525,0.706666666666667,47,636,264,12,2.64730609113426,-0.0670046888366358
8,10,80,500,0.1,0.05,0.9,TRUE,0.890196788843219,1,0.262117068776931,0.813559322033898,0.7,48,630,270,11,2.74831005928963,0.134401155171441
8,10,80,500,0.1,0.1,0.9,TRUE,0.890196788843219,1,0.300602265930268,0.88135593220339,0.706666666666667,52,636,264,7,2.81229141848443,-0.0723188745278991
20,10,200,500,0.1,0.03,0.7,TRUE,0.687615839338061,1,0.738838715483035,0.655172413793103,0.993333333333333,38,894,6,20,6.65708244870106,0.523067499875321
