"";"Careless";"time_p1";"time_p2";"time_p3";"time_p4";"time_p5";"time_p6"
"395";"0";114077,4;103608,78;86363,05;81783,6;77046,65;85382
"396";"0";32348;44444;40956,75;34850;53376;51004
"397";"1";52828;38762;37314;40494;34303;10441
"398";"1";46513;44511,43;35245,56;44868,57;33102;45337
"399";"1";60569;60145,56;31575;51112;38003;52426,67
"400";"0";51318,89;53236;56785;49642,86;52304,9;64260
"401";"1";5158;7538;6436;4259;4189;5415
"402";"0";57018,75;53057;53445,56;49137,14;62098,3;48243,75
"403";"0";101199,5;97425,9;84217,5;71992,2;78981,55;88222,7
"404";"0";44558,89;33488;31216;30593,33;36982,5;38946
"405";"0";43687;47732;39809;44045;39136;44990
"406";"0";53556;58154;45007,78;39830;43315;41615
"407";"0";61355,71;67386,3;55448,89;38566,67;56003,61;55312,22
"408";"0";31395;32837,5;27087;30366;27894;29432,22
"409";"0";36204;47855;35740;35418;31480;48460
"410";"0";55305;53796;41587;42076;36691,11;49338
"411";"1";76481,6;75562;64276;61694;76723;64949,75
"412";"1";39131,11;55550;34853;42988;32008;37014,44
"413";"1";57074,44;62124;56710;47686,67;46843;61628,89
"414";"0";52214,44;45473,75;37136,25;44960;37220;39575
"415";"1";52175,56;74950,45;54950;46307;57068,39;62250
"416";"1";75906;87334;74026,67;66957,2;68620,25;86495
"417";"1";9957;5622;5915,56;6136;5728,89;5785
"418";"0";61871,15;87109,4;53629,05;61842,75;36243,2;59539,17
"419";"0";108246,25;64930;57980;55758,75;54939,5;78321,43
"420";"0";73457,17;64258,89;82078;91514,81;76037,2;97804,29
"421";"0";59417;42574,44;29960;33197;27808,89;43946
"422";"0";68267,8;48381,43;38345,56;32662,86;45090,25;45162,86
"423";"0";74430,6;63835;48894,17;62655,25;55976,67;47576
"424";"0";80732,85;67992;56960;67912,55;66206;72717,78
"425";"1";40862;51574;47027;41530;47952,44;44165
"426";"0";43435;45580;44637;44978,89;47177;55116,67
"427";"0";60410;70210;56476,25;48911,43;59190;64241,11
"428";"1";23517;33195;26301;43672;25622;47148
"429";"0";68305;88241,94;47470;59690,61;50642,5;69857,78
"430";"1";107707,44;136119,19;85173,72;99276,2;101566,9;112981,38
"431";"0";73094;69199;46863;57987,78;45544;56440
"432";"1";29522;15820;25176;11461;11454;14630
"433";"0";43534;48220;31528,89;38506;35542,22;35292
"434";"1";31172,22;43478,89;29890;41608,9;34904;41821
"435";"1";53222;60142,22;47205,56;57392,2;59165,9;57322,22
"436";"0";65536;46409;49653;52220;50429;59290
"437";"0";119046,28;145541,5;105652,5;103071,9;105185,3;102289,94
"438";"0";102740,7;109485,17;84953,31;82338,6;85545,65;86959,06
"439";"0";76031,11;93470;65948,44;63642,2;70777,65;60831
"440";"1";58744;68021,55;68175;60430,61;60986,2;81754,25
"441";"0";125752;118660,06;103582;107093,7;87292,2;112597,11
"442";"0";41716,67;15396;11961;11941;9642,22;8963
"443";"1";42816,25;15573;10947;9734;8781;12256
"444";"1";34466;39290;30310;31071;29574;34543,33
"445";"1";34067,78;17801;29890;42621,25;47827,3;31422
"446";"0";69692;64982,5;48728;54025,11;54026;69743,3
"447";"0";49103,33;50659;35862;42564;31092;37442,22
"448";"0";60687,78;64676,67;74013,78;66742,11;51553,33;72878,75
"449";"0";17724;11621;10676;11594;10871;9381
"450";"0";56666;74438;55843,75;57304,15;51059;58771
"451";"0";73079;69140;59076,8;55819,6;51275;52923
"452";"0";91425,95;101485,3;75630;76151;70106,2;87144,3
"453";"0";58534;60416;62953,6;46444;54201,45;71441
