"nF","ipf","total_items","pct","rep","mcc_std","z_std","mcc_wt","z_wt","mcc_efaD","z_efaD","nF_detected","n_pairs_D"
30,6,180,0.25,3,0.562488889824821,2.5,0.461304865673791,2.6,0.577609096054869,2.3,18,875
4,10,40,0.25,3,0.14213381090374,2.9,0.347763612580273,1,0.386090175531436,1,3,264
6,10,60,0.25,3,0.449125306230446,0.9,0.428010312390225,2.1,0.485317563222764,1.8,5,381
8,10,80,0.25,3,0.375234058393393,1.9,0.408248290463863,1.9,0.520847435706514,0.5,7,422
10,10,100,0.25,3,0.504825202271524,1,0.500370233297676,1.5,0.59886039783165,1.5,8,593
15,10,150,0.25,3,0.593643176244985,2.5,0.48519164068609,2.6,0.610088876086563,1.6,12,899
20,10,200,0.25,3,0.64888568452305,2.7,0.590197139708733,2.6,0.721424876772371,2.3,16,1181
25,10,250,0.25,3,0.661495092631652,2.9,0.410823268055447,3,0.631031502839405,2.3,20,1502
30,10,300,0.25,3,0.644310787389243,2.6,0.267716930635336,2.9,0.642643476946373,3,20,2237
4,3,12,0.05,4,0.137583975151807,0.2,0.0950897780889282,0.6,0.109289867335311,0.1,3,19
6,3,18,0.05,4,0.11967977161099,0.1,0.189145407820586,0.5,0.160203193477272,0.2,4,34
8,3,24,0.05,4,0.171312309727734,0.1,0.17920430732685,0.1,0.10990622718848,1.8,5,49
10,3,30,0.05,4,0.0833747000935546,2.8,0.215980616766842,0.2,0.134976381199754,0.1,6,73
15,3,45,0.05,4,0.120655173004212,1.9,0.110968765429731,0.1,0.117790303803927,0.1,8,116
20,3,60,0.05,4,0.17648843242788,0.2,0.0691714463866075,2.1,0.0873704056661038,2.9,8,209
25,3,75,0.05,4,0.304127852098864,0.4,0.298210025989613,0.3,0.321888484963468,0.3,14,203
30,3,90,0.05,4,0.203455979297691,0.1,0.218182263406767,1.2,0.248509469626006,0.3,15,249
4,6,24,0.05,4,0.0904024636091849,1.3,0.159678584339092,0.6,0.154526070294465,0.2,3,96
6,6,36,0.05,4,0.0904804752419463,0.3,0.0907976263888957,1.4,0.117083866439231,0.2,4,159
8,6,48,0.05,4,0.101117751648679,1.8,0.266487546166947,0.9,0.153772792460148,2.5,5,229
10,6,60,0.05,4,0.184377993593488,0.4,0.106345990610244,0.2,0.154326033291867,1.6,7,254
15,6,90,0.05,4,0.250357982343226,1.3,0.294963086405008,0.1,0.368421052631579,0.1,12,320
20,6,120,0.05,4,0.460453005778985,1.5,0.330420401131675,2.1,0.506711709709532,0.2,15,474
25,6,150,0.05,4,0.362132866376945,0.1,0.252081634598144,0.7,0.404208673962418,0.3,17,628
30,6,180,0.05,4,0.515723953094829,1.4,0.429197537639476,2.3,0.60626738303556,0.7,21,731
4,10,40,0.05,4,0.24597466059443,0.5,0.184185594930409,0.4,0.303957922698828,0.1,4,180
6,10,60,0.05,4,0.183702594621157,0.1,0.22359197867424,0.3,0.345409471816155,0.1,5,343
8,10,80,0.05,4,0.188831405289495,1.8,0.207514339159822,1.2,0.202474359512424,1.6,6,523
10,10,100,0.05,4,0.30195236631977,0.1,0.404208673962418,0.4,0.443511038596483,0.3,8,593
15,10,150,0.05,4,0.368421052631579,0.5,0.328541230099224,1.4,0.490079493105597,1.6,12,893
20,10,200,0.05,4,0.505497619946183,1.6,0.497597774256313,2,0.553818619694996,1.1,16,1190
25,10,250,0.05,4,0.577561250475378,2.5,0.471111079370566,2.3,0.587255030879072,1.7,19,1594
30,10,300,0.05,4,0.811707703370801,2.2,0.357094915286524,3,0.76656954412459,1.5,25,1752
4,3,12,0.1,4,0.0764719112901873,1.4,0.163397234763279,0.7,0.145172128870775,0.6,3,21
6,3,18,0.1,4,0.189028482005491,1.2,0.195572940589644,0.7,0.171397792547765,1.1,4,34
