"nFactors","total_items","z_threshold","mean_mcc","sd_mcc","mean_sens","mean_spec","n_reps"
16,105,1.5,0.48608500825918,0.084044769237265,0.808333333333333,0.7675,10
16,105,1.7,0.467113198481363,0.0827358897227685,0.823333333333333,0.738333333333333,10
16,105,1.9,0.459849311764411,0.0709786339244187,0.858333333333333,0.702916666666667,10
16,105,2.1,0.449947444010286,0.0717519001070487,0.876666666666667,0.677083333333333,10
16,105,2.3,0.436912654840971,0.0586936532139389,0.895,0.646666666666667,10
16,105,2.5,0.417218694273632,0.0501080793507309,0.908333333333333,0.610833333333333,10
16,105,2.7,0.407904574157778,0.0520744474036098,0.928333333333333,0.57875,10
16,105,2.9,0.389497662853209,0.054831561732167,0.936666666666667,0.545416666666667,10
17,111,0.1,0.495149425533663,0.066276744868056,0.498333333333333,0.939166666666667,10
17,111,0.3,0.507425900147569,0.0511828369923755,0.546666666666667,0.925833333333333,10
17,111,0.5,0.516965961902496,0.0518109125539277,0.593333333333333,0.910833333333333,10
17,111,0.7,0.525441551892897,0.0662249139795,0.645,0.891666666666667,10
17,111,0.9,0.528560072968628,0.0646357868349038,0.685,0.873333333333333,10
17,111,1.1,0.523204549802648,0.0745546853120187,0.716666666666667,0.853333333333333,10
17,111,1.3,0.526823328280402,0.0623603134429018,0.756666666666667,0.833333333333333,10
17,111,1.5,0.524065051171473,0.0649890907583555,0.793333333333333,0.809166666666667,10
17,111,1.7,0.516887821387332,0.0644841949281547,0.825,0.782916666666667,10
17,111,1.9,0.499184668858617,0.0625786149637812,0.84,0.75625,10
17,111,2.1,0.483364185877879,0.0646305142915283,0.865,0.722083333333333,10
17,111,2.3,0.469385221452069,0.067708177737427,0.89,0.687083333333333,10
17,111,2.5,0.449387247508281,0.0614964511264471,0.905,0.651666666666667,10
17,111,2.7,0.444467391747048,0.0654183589704308,0.928333333333333,0.624583333333333,10
17,111,2.9,0.427356755346073,0.0616682817558223,0.945,0.58625,10
18,114,0.1,0.491270223035895,0.0848582446685876,0.453333333333333,0.955,10
18,114,0.3,0.507759558773228,0.0838171913351703,0.501666666666667,0.944166666666667,10
